ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,16,333,504,156,119,135,95,146.14714714714714,106.66066066066067,1.3745155482922646,374,0.4755526828042658,20.590987552733093,1,0.6607142857142857,0.7275290565046186,22.35057568228107,23.194827009486403,8.94427190999916,3.3888093854543273,3.0,20.0,19.66151630624529,-23.3778798585523,75.84062043356595,0.8903743315508021,146.14714714714714,106.66066066066067,0,16,14
1,17,266,506,139,118,116,96,124.95864661654136,108.11278195488721,1.6897268372623595,313,0.6338881342442718,18.403307281560924,1,0.525691699604743,0.5918116336603658,22.09334561563499,24.186773244895647,7.211102550927978,2.7960602785659154,2.23606797749979,16.70882717788347,17.08754015734929,43.94483435555839,75.15432893255071,0.8498402555910544,124.95864661654136,108.11278195488721,0,17,14
1,18,805,1540,67,140,23,105,41.387577639751555,119.25465838509317,1.8133396949759386,932,0.8326447024736551,32.01496265048276,1,0.5227272727272727,0.5514686535405431,45.280239243941494,47.80167361086848,11.40175425099138,4.3118727605012195,3.605551275463989,24.684158732022695,25.076538236685693,-61.30984433858559,135.4386001800126,0.8637339055793991,41.387577639751555,119.25465838509317,0,18,19
1,19,178,285,106,126,87,111,97.71348314606742,118.53370786516854,1.7884378540650925,224,0.5594434092901835,15.054455784347004,1,0.624561403508772,0.5591471896700324,17.634884578565806,18.788294228055936,5.0,2.2348218201310175,2.0,14.0,14.617001195401304,-81.19587429061114,63.248737341529164,0.7946428571428571,97.71348314606742,118.53370786516854,0,19,15
1,20,548,870,179,133,149,104,163.92335766423358,119.33759124087591,1.704018101515105,641,0.1456448037790045,26.414679072721462,1,0.6298850574712643,0.5868482260316737,27.739766640290817,32.2490309931942,10.295630140987,3.816940236556058,3.1622776601683795,26.39944638114158,27.443975988389184,-62.34848161716312,108.32590180780451,0.8549141965678627,163.92335766423358,119.33759124087591,0,20,17
1,21,317,570,147,132,117,113,129.93059936908517,121.41640378548895,1.7013899659866072,383,0.8381115331951998,20.090219901261573,1,0.5561403508771929,0.5877547299511179,28.610417041819296,29.017236257093817,6.708203932499369,2.824576867749406,2.23606797749979,16.992758638721558,15.606951235275234,-79.07523892968487,82.32590180780451,0.8276762402088773,129.93059936908517,121.41640378548895,0,21,20
1,22,902,1620,95,143,50,107,73.41130820399113,124.92461197339246,1.619888348809327,1045,0.5953156378238925,33.88896677904354,1,0.5567901234567901,0.6173264970607598,38.87502339240247,44.04543109109048,13.45362404707371,4.893488429796407,4.242640687119285,32.01193597619207,31.23576781112184,83.68513083623986,135.5035713374682,0.8631578947368421,73.41130820399113,124.92461197339246,0,22,22
1,23,309,506,155,140,132,118,143.6957928802589,129.98705501618122,1.2070633662084835,330,0.5598738559891373,19.83509564693766,1,0.6106719367588933,0.8284569211483139,22.079979404351825,22.47220505424423,8.602325267042627,3.396789051996129,2.8284271247461903,16.97056274847714,18.29498202104803,-51.01828579857133,68.46194077712559,0.9363636363636364,143.6957928802589,129.98705501618122,0,23,21
1,24,435,924,133,145,105,112,115.0919540229885,127.78390804597701,2.236475003907709,606,0.8398818626927527,23.534213434057992,1,0.4707792207792208,0.44713220503369705,36.234748051245354,33.60059523282288,6.708203932499369,2.8424240586250273,2.8284271247461903,22.801369235736484,19.66710695609284,26.45774091072063,110.5685424949238,0.7178217821782178,115.0919540229885,127.78390804597701,0,24,20
1,25,263,361,111,144,92,125,100.47908745247149,133.67300380228136,1.5375236885893278,306,0.5765988584364337,18.29923496393627,1,0.7285318559556787,0.6503964832681676,20.858512819403735,22.02271554554524,7.0710678118654755,2.8869905398765736,2.8284271247461903,17.02904093876451,17.041976293730283,-50.6483176105401,71.2842712474619,0.8594771241830066,100.47908745247149,133.67300380228136,0,25,25
